what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1742697706730
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1742697707480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697713868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697754613
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1742697755535
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1742697758810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697760544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697761419
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1742697764398
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1742697765272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697769969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697771219
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1742697771454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697771547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697772688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697773854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697776479
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1742697776713
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1742697776947
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1742697780987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697783713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697824065
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1742697824939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1742697829270
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1742697849075
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1742697850747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1742697853043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1742697854257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697855457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697868879
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1742697872764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697883767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697885291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697887766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697935129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697939105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742697964795
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1742697965341
