what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698286955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698290886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698292178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698294126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1742698295565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698321185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698341917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1742698343300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1742698343742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1742698347301
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1742698349561
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1742698350356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698352000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698353729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698359953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698361172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698362211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698367518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698370018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698371256
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1742698371663
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1742698373228
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1742698373467
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1742698377791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698380488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698442976
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1742698442989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1742698487243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698492262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698554129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1742698597746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698602848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698698047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698735728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742698794813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1742698797531
