what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1736039748211
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1736039750498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039752608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039752756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039753342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039755702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039758590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039764362
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1736039767657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1736039780052
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1736039781160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039783235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039783261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039783890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039786306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039788858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039792401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039792420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039796260
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1736039800611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039884640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039900735
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1736039900755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039905455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039907585
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1736039913991
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1736039922016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039922334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039922465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039925301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736039932534
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1736039932547
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1736039935534
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1736039935743
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1736039935754
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1736039989315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736040047603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736040054787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736040057552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736040144676
