what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1741487580218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1741487580390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1741487581979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1741487686133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1741487695552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1741487702693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1741487705201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1741487706342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1741487707262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1741488162233
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1741488178254
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1741488180730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1741488222205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1741489939866
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1741489941886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1741489949172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1741489955438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1741490002623
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1741490036850
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1741490036900
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1741490038442
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1741490040723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1741490059527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1741490076997
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1741490080690
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1741490087508
