what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1742045312684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742045356152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742045370341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742045459550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742045462789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1742045462820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1742045507299
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1742045513441
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1742045515608
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1742045517944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742045518302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742045519987
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1742045520612
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1742045520642
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1742045520643
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1742045520644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742045520700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742045526439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742045529690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742045540661
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1742045544299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1742045553921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1742045554097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742045558496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742045796364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742045811671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742045815668
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1742045815747
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1742045815808
