what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1744466392976
java.specification.version,sysinfo,,,"1.6",1744466392976
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1744466392976
java.version,sysinfo,,,"1.6.0_23",1744466392976
java.vm.info,sysinfo,,,"mixed mode",1744466392976
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1744466392976
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1744466392976
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1744466392976
java.vm.specification.version,sysinfo,,,"1.0",1744466392976
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1744466392976
java.vm.version,sysinfo,,,"19.0-b09",1744466392976
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1744466393210
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1744466393257
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1744466393304
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1744466393351
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1744466395018
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1744466396631
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1744466398134
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1744466398149
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1744466416878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466422396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466526760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744466530192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466532235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466566629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744466568170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466570952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466584269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466589217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466593213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744466593945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466599958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466609948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744466611932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466615073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466631908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744466637634
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1744466638474
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1744466638677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466654052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466662039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744466664710
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1744466688526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1744466703567
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1744466704602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744466709395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1744466711834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466719823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466731818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744466735177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466760184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466808434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466822656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744466940145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1744466995279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1744467004956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1744467033883
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1744467052499
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1744467052514
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1744467052530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467076165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467076268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467078884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467288930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467292454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1744467312708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1744467313114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1744467314653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467317156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467329891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467349321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467360284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467370240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467372028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1744467382637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467388726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467439598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467442080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467442504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467456246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467456912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467469097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467470886
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1744467476952
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1744467492453
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1744467492515
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1744467492515
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1744467554114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1744467565800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467566402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467570445
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1744467573443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467575289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467577335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467583192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467587239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467592426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467596608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467601709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467606780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467611552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467616508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467620753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467624121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1744467636335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467670451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467683038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467685061
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1744467697253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1744467700726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1744467706825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1744467707576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1744467707936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467733548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467736499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1744467764975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467802855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467805431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1744467805458
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1744467812709
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1744467813469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467824335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467825796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1744467825814
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1744467857197
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1744467859301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467864471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467871833
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1744467881486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744467897152
