what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1745117489163
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1745117489163
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1745117489163
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1745117489163
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1745117489163
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1745117489163
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1745117489163
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1745117489163
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1745117489163
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1745117489163
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1745117489163
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1745117489163
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1745117489163
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1745117489163
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1745117489163
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1745117489163
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1745117489179
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1745117489179
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1745117489179
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1745117489179
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1745117489179
os,sysinfo,,,"win32",1745117489179
arch,sysinfo,,,"x86",1745117489179
ws,sysinfo,,,"win32",1745117489179
locale,sysinfo,,,"en_US",1745117489179
processors,sysinfo,,,"8",1745117489179
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1745117489179
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1745117489179
java.specification.name,sysinfo,,,"Java Platform API Specification",1745117489179
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1745117489179
java.specification.version,sysinfo,,,"1.6",1745117489179
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1745117489179
java.version,sysinfo,,,"1.6.0_23",1745117489179
java.vm.info,sysinfo,,,"mixed mode",1745117489179
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1745117489179
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1745117489179
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1745117489179
java.vm.specification.version,sysinfo,,,"1.0",1745117489179
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1745117489179
java.vm.version,sysinfo,,,"19.0-b09",1745117489179
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1745117489449
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1745117490471
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1745117490771
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1745117490896
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1745117493013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1745117493360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1745117494625
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1745117499235
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1745117499257
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1745117499260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1745117501723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1745117503169
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1745117509360
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1745117512630
